metric,value,unit
status,completed,
particle_build_seconds,0.0008684369968250394,seconds
total_wall_seconds,28.097927598981187,seconds
output_dir_bytes,59875643,bytes
backend,cuda,
cuda_device,NVIDIA GeForce RTX 3060 Ti,
particles,48430,count
surface_particles,21536,count
subsurface_particles,26894,count
steps,4000,count
frames,101,count
save_every,40,
dt,0.00025,seconds
substeps,10,count
effective_substep_dt,2.5e-05,seconds
duration,1.0,seconds
n_grid,64,count
grid_lim,2.0,
particle_size,0.0125,
velocity_damping,1.0,
ground_coup_friction,0.2,
ground_coup_softness,0.0,
ground_coup_restitution,0.0,
gravity_scale,1.0,
genesis_init_seconds,0.18711304798489437,seconds
scene_build_seconds,3.9917270680016372,seconds
particle_upload_seconds,0.046065403992543,seconds
frame0_write_seconds,0.009583314007613808,seconds
simulation_loop_seconds,20.931712676014286,seconds
total_solver_wall_seconds,28.0944642329996,seconds
average_step_seconds,0.005232928169003571,seconds
steps_per_second,191.09759731145232,steps/second
particle_steps_per_second,9254856.637793636,particle-steps/second
