step,time,x,y,z,command_x,command_y,command_z,depth,bottom_z,command_bottom_z
0,0.0,0.0,0.0,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
80,0.02,-1.7852852352007176e-07,-4.143853971072531e-08,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
160,0.04,-2.8843192012573127e-07,-8.515884530879703e-08,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
240,0.06,-2.1340765954391827e-07,-7.818833580586215e-08,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
320,0.08,-1.7268489216348826e-07,-1.1676797839754727e-07,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
400,0.1,-8.20442522808662e-08,-1.1604117133856562e-07,-2.4452054500579834,0.0,0.0,-2.4452054119110107,0.0,-2.4652054500579834,-2.4652054119110107
480,0.12,-1.1317423798118398e-07,-1.1388354437258386e-07,-2.4453444480895996,0.0,0.0,-2.445352911911011,0.00014749999999999984,-2.4653444480895996,-2.465352911911011
560,0.14,-2.591962413589499e-07,-1.922345234106615e-07,-2.4457855224609375,0.0,0.0,-2.4457854119110105,0.0005800000000000002,-2.4657855224609375,-2.4657854119110105
640,0.16,-6.561690497619566e-07,-3.6888550880576076e-07,-2.4464657306671143,0.0,0.0,-2.4464879119110106,0.0012825,-2.4664657306671143,-2.4664879119110106
720,0.18,-1.048843500939256e-06,-5.564639877775335e-07,-2.4473843574523926,0.0,0.0,-2.4474454119110107,0.0022399999999999985,-2.4673843574523926,-2.4674454119110107
800,0.2,-1.430018187420501e-06,-7.383816864603432e-07,-2.448563575744629,0.0,0.0,-2.4486429119110107,0.0034375,-2.468563575744629,-2.4686429119110107
880,0.22,-1.852814989433682e-06,-9.164585890175658e-07,-2.449958324432373,0.0,0.0,-2.4500654119110106,0.00486,-2.469958324432373,-2.4700654119110106
960,0.24,-2.4636826765345177e-06,-1.074404508472071e-06,-2.4515578746795654,0.0,0.0,-2.4516979119110105,0.0064924999999999965,-2.4715578746795654,-2.4716979119110105
1040,0.26,-3.106410758846323e-06,-1.2684546391028562e-06,-2.453350067138672,0.0,0.0,-2.4535254119110106,0.00832,-2.473350067138672,-2.4735254119110106
1120,0.28,-3.854005626635626e-06,-1.5047385204525199e-06,-2.455320119857788,0.0,0.0,-2.4555329119110105,0.010327500000000002,-2.475320119857788,-2.4755329119110105
1200,0.3,-4.613044438883662e-06,-1.7992168750424753e-06,-2.4574475288391113,0.0,0.0,-2.457705411911011,0.012499999999999997,-2.4774475288391113,-2.477705411911011
1280,0.32,-5.855427843926009e-06,-2.7517660328157945e-06,-2.459742546081543,0.0,0.0,-2.460027911911011,0.014822499999999999,-2.479742546081543,-2.480027911911011
1360,0.34,-6.1502364587795455e-06,-3.421917654122808e-06,-2.462221384048462,0.0,0.0,-2.4624854119110107,0.01728,-2.482221384048462,-2.4824854119110107
1440,0.36,-6.979750651225913e-06,-3.5816644867736613e-06,-2.464745283126831,0.0,0.0,-2.465062911911011,0.019857500000000004,-2.484745283126831,-2.485062911911011
1520,0.38,-9.747021977091208e-06,-4.567833912005881e-06,-2.4672248363494873,0.0,0.0,-2.467745411911011,0.022540000000000004,-2.4872248363494873,-2.487745411911011
1600,0.4,-1.1728939171007369e-05,-5.108147433929844e-06,-2.4698452949523926,0.0,0.0,-2.4705179119110108,0.02531250000000001,-2.4898452949523926,-2.490517911911011
1680,0.42,-1.1809774150606245e-05,-4.9526374823472e-06,-2.47251558303833,0.0,0.0,-2.473365411911011,0.02815999999999999,-2.49251558303833,-2.493365411911011
1760,0.44,-1.1644539881672245e-05,-4.533934770734049e-06,-2.47530460357666,0.0,0.0,-2.4762729119110105,0.0310675,-2.49530460357666,-2.4962729119110105
1840,0.46,-1.0534415196161717e-05,-3.7150332445889944e-06,-2.478165626525879,0.0,0.0,-2.4792254119110106,0.034019999999999995,-2.498165626525879,-2.4992254119110107
1920,0.48,-9.128714737016708e-06,-3.325318630231777e-06,-2.4810266494750977,0.0,0.0,-2.4822079119110105,0.037002499999999994,-2.5010266494750977,-2.5022079119110106
2000,0.5,-8.736721611057874e-06,-3.43514602718642e-06,-2.4838876724243164,0.0,0.0,-2.4852054119110107,0.04,-2.5038876724243164,-2.5052054119110108
