metric,value,unit
status,completed,
backend,cuda,
cuda_device,NVIDIA GeForce RTX 3060 Ti,
particles,48430,count
steps,6400,count
dt,0.00025,seconds
substeps,10,count
duration,1.6,seconds
particle_size,0.0125,meters
surface_z_at_query,-2.4852054119110107,meters
target_indent_depth,0.08,meters
final_indent_depth,0.08,meters
indenter_body_mode,rigid,
indenter_sdf_res,128,
indenter_control_mode,pd,
indenter_kp,800000.0,
indenter_kv,20000.0,
indenter_force_limit,200000.0,newtons
debug_kinematic_contact,False,
debug_contact_mode,none,
surface_contact_band,0.0,meters
surface_lateral_scale,0.35,
rim_height_scale,0.35,
rim_width_scale,0.45,
genesis_init_seconds,0.18561623099958524,seconds
scene_build_seconds,3.2811752050183713,seconds
simulation_loop_seconds,42.55894423701102,seconds
steps_per_second,150.37967023708015,steps/second
total_wall_seconds,49.08231683302438,seconds
output_dir_bytes,48262411,bytes
