radius_lower_m,radius_upper_m,radius_center_m,count,jp_mean,jp_rmse,jp_p05,jp_median,jp_p95,delta_jp_mean,delta_jp_rmse,delta_jp_p05,delta_jp_median,delta_jp_p95,det_f_mean,det_f_rmse,det_f_p05,det_f_median,det_f_p95,delta_det_f_mean,delta_det_f_rmse,delta_det_f_p05,delta_det_f_median,delta_det_f_p95,vertical_displacement_mm_mean,vertical_displacement_mm_rmse,vertical_displacement_mm_p05,vertical_displacement_mm_median,vertical_displacement_mm_p95,phase,inside_action_radius
0.0,0.005,0.0025,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9344173669815063,0.9351478219032288,0.8702638149261475,0.9352028369903564,0.9854127168655396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.005,0.01,0.0075,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9373232126235962,0.938048779964447,0.8711388111114502,0.9396626949310303,0.9882265329360962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.01,0.015,0.0125,333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383026361465454,0.9390342235565186,0.8704521059989929,0.9395967721939087,0.9887292385101318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.015,0.02,0.0175,416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9386479258537292,0.9393756985664368,0.870364248752594,0.9400382041931152,0.9884034395217896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.02,0.025,0.0225,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383807182312012,0.9391103386878967,0.8710123896598816,0.9398131370544434,0.9883586168289185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.025,0.03,0.0275,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385421276092529,0.9392735362052917,0.8709139227867126,0.9402806758880615,0.9882055521011353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.03,0.035,0.0325,756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9385600686073303,0.9392919540405273,0.8709945678710938,0.9403342604637146,0.9885680079460144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.035,0.04,0.037500000000000006,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9386813640594482,0.9394164085388184,0.8706788420677185,0.9403419494628906,0.9889132380485535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.04,0.045,0.042499999999999996,1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938782274723053,0.9395188093185425,0.8707007169723511,0.9406008124351501,0.9891148805618286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
0.045,0.05,0.0475,1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388585686683655,0.9395965933799744,0.8708269596099854,0.9405699372291565,0.9893007874488831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,True
