radius_lower_m,radius_upper_m,radius_center_m,count,chrono_response_mm_mean,chrono_response_mm_rmse,chrono_response_mm_p05,chrono_response_mm_median,chrono_response_mm_p95,genesis_response_mm_mean,genesis_response_mm_rmse,genesis_response_mm_p05,genesis_response_mm_median,genesis_response_mm_p95,error_mm_mean,error_mm_rmse,error_mm_p05,error_mm_median,error_mm_p95,phase,inside_action_radius
0.0,0.005,0.0025,1,-18.486907958984375,18.486907958984375,-18.486907958984375,-18.486907958984375,-18.486907958984375,-14.722626686096191,14.722626686096191,-14.722626686096191,-14.722626686096191,-14.722626686096191,3.7642812728881836,3.7642812728881836,3.7642812728881836,3.7642812728881836,3.7642812728881836,loaded,True
0.005,0.01,0.0075,8,-20.34476089477539,20.34649085998535,-20.773767471313477,-20.35547637939453,-20.039724349975586,-14.724527359008789,14.724526405334473,-14.726670265197754,-14.724559783935547,-14.722230911254883,5.62023401260376,5.626506805419922,5.315027713775635,5.631368160247803,6.049490451812744,loaded,True
0.01,0.015,0.0125,17,-20.62925148010254,20.632591247558594,-21.209257125854492,-20.658733367919922,-20.112751007080078,-14.728777885437012,14.728777885437012,-14.73431396484375,-14.729758262634277,-14.720409393310547,5.900473594665527,5.912121295928955,5.384932041168213,5.931783676147461,6.47855806350708,loaded,True
0.015,0.02,0.0175,21,-20.790918350219727,20.792163848876953,-21.101192474365234,-20.751243591308594,-20.50737953186035,-14.731609344482422,14.731612205505371,-14.738978385925293,-14.735501289367676,-14.71523666381836,6.0593085289001465,6.063531398773193,5.786109924316406,6.021895408630371,6.3759660720825195,loaded,True
0.02,0.025,0.0225,29,-21.613826751708984,21.617902755737305,-22.006834030151367,-21.862064361572266,-20.861021041870117,-14.72911262512207,14.729118347167969,-14.742866516113281,-14.734474182128906,-14.704565048217773,6.8847150802612305,6.8973917961120605,6.14024543762207,7.1356000900268555,7.270053863525391,loaded,True
0.025,0.03,0.0275,35,-21.547103881835938,21.54801368713379,-21.82082748413086,-21.573152542114258,-21.134675979614258,-14.71234130859375,14.712363243103027,-14.743807792663574,-14.721735954284668,-14.667967796325684,6.8347601890563965,6.837516784667969,6.458083629608154,6.8524370193481445,7.130181789398193,loaded,True
0.03,0.035,0.0325,36,-21.15770721435547,21.160276412963867,-21.621501922607422,-21.0623836517334,-20.648326873779297,-14.660378456115723,14.660430908203125,-14.712505340576172,-14.662148475646973,-14.597286224365234,6.497328281402588,6.505547523498535,6.010770797729492,6.382865905761719,7.000532627105713,loaded,True
0.035,0.04,0.037500000000000006,48,-20.777502059936523,20.78075408935547,-21.237468719482422,-20.776615142822266,-20.30004119873047,-16.41376495361328,16.948877334594727,-25.345277786254883,-14.57693862915039,-14.411242485046387,4.363736629486084,6.081583023071289,-4.541465759277344,6.081018924713135,6.68791389465332,loaded,True
0.04,0.045,0.042499999999999996,56,-20.35798454284668,20.36200714111328,-21.02165412902832,-20.353046417236328,-19.727996826171875,-21.001689910888672,21.877609252929688,-29.242454528808594,-17.6129207611084,-14.259017944335938,-0.6437050104141235,6.116905212402344,-9.091740608215332,2.158609390258789,6.185486793518066,loaded,True
0.045,0.05,0.0475,60,-19.825681686401367,19.829126358032227,-20.353328704833984,-19.79762077331543,-19.33300018310547,-16.308870315551758,16.963623046875,-28.4365177154541,-14.216793060302734,-13.673784255981445,3.516813039779663,5.834410667419434,-8.390667915344238,5.60475492477417,6.350574493408203,loaded,True
0.05,0.055,0.052500000000000005,65,-19.23194694519043,19.235210418701172,-19.763696670532227,-19.22875213623047,-18.661697387695312,-15.252029418945312,15.816596031188965,-24.364734649658203,-13.498244285583496,-12.277071952819824,3.9799184799194336,5.780059337615967,-4.994555473327637,5.851752281188965,6.830473899841309,loaded,True
0.055,0.06,0.057499999999999996,62,-18.633657455444336,18.637004852294922,-19.074420928955078,-18.614105224609375,-18.092660903930664,-13.130911827087402,13.711238861083984,-23.12721824645996,-11.701380729675293,-10.255685806274414,5.502741813659668,6.814494609832764,-4.752297878265381,6.940670967102051,8.325776100158691,loaded,True
