label,step,time_s,particle_count,stable_duration_s,equilibrium_seen,speed_p50_mps,speed_p90_mps,speed_p95_mps,speed_p99_mps,speed_p99p5_mps,speed_max_mps,speed_rms_mps,mean_squared_speed_m2ps2,top_fraction,top_count,top_speed_mean_mps,top_speed_min_mps,top_speed_max_mps,top_x_mean_m,top_y_mean_m,top_z_mean_m,top_xy_radius_mean_m,top_xy_radius_p95_m,top_near_side_wall_fraction,top_near_ground_fraction,top_near_surface_fraction,top_inside_action_footprint_fraction,top_x_p05_m,top_x_median_m,top_x_p95_m,top_y_p05_m,top_y_median_m,top_y_p95_m,top_z_p05_m,top_z_median_m,top_z_p95_m
dt_0.5_ms,1,0.0005,307461,0.0,False,0.0007646629237569869,0.007588978856801987,0.0077473316341638565,0.011028178595006469,0.011322797555476428,0.015414314344525337,0.003877291665103685,1.5033390656282507e-05,0.01,3075,0.011610700757644041,0.011028261855244637,0.015414314344525337,-9.438073562611264e-05,-9.110708745338787e-05,-0.09238512916535865,0.3452774129866583,0.4140193978289026,0.8299186991869919,0.7671544715447155,0.0,0.0,-0.30016016960144043,-2.656327524164226e-06,0.30016020834445956,-0.3001586586236954,-1.0573444342298899e-06,0.30015806257724764,-0.10008586347103118,-0.09013015776872635,-0.08508633822202682
dt_0.5_ms,20,0.01,307461,0.0,False,0.022381342947483063,0.03114103525876999,0.033502429723739624,0.0358792208135128,0.036811638996005064,0.040498439222574234,0.02306615308676079,0.0005320474182218842,0.01,3075,0.037140736243104544,0.0358792319893837,0.040498439222574234,0.0001905287990633419,0.0003434279184073499,-0.07437309131874302,0.368778327189515,0.40719029837345316,0.23414634146341465,0.032520325203252036,0.0,0.0,-0.2903567522764206,0.0049990639090538025,0.2903567314147949,-0.2903542727231979,0.004998528864234686,0.29035416841506956,-0.08529904186725616,-0.07523225247859955,-0.060135947167873384
dt_0.5_ms,40,0.02,307461,0.0,False,0.02929615043103695,0.0415339320898056,0.04349738731980324,0.04644897356629372,0.0473734561353922,0.05029166862368584,0.03045680206582147,0.0009276167920766271,0.01,3075,0.04763135778225534,0.04644902050495148,0.05029166862368584,0.0007904523875743515,-4.803681835122605e-05,-0.0022527081938555115,0.29263685993540955,0.340008363609039,0.0,0.0,0.9284552845528455,0.0,-0.24013622403144835,0.004998375661671162,0.24013644605875015,-0.24014031887054443,-6.1315959101193585e-06,0.24014101028442383,-0.010289060045033693,-0.000288633193122223,-0.0002610203868243843
dt_0.5_ms,60,0.03,307461,0.0,False,0.0303933285176754,0.05057911202311516,0.0535380020737648,0.0577007927000523,0.058943600207567226,0.06211601942777634,0.03396772226844999,0.0011538061561065535,0.01,3075,0.05930389012505369,0.057701852172613144,0.06211601942777634,0.00022929297714698605,-0.00021890637835836023,-0.0019614542514933804,0.2560155236779626,0.30792023518158834,0.0,0.0,1.0,0.0,-0.22022891491651536,0.08999134600162506,0.22022825330495835,-0.22022633254528046,-0.08999834209680557,0.2202273428440094,-0.005841132951900363,-0.0008511502528563142,-0.0008233998494688421
dt_0.5_ms,80,0.04,307461,0.0,False,0.028715411201119423,0.031844012439250946,0.032359980046749115,0.03314832448959351,0.03339445777237416,0.034012168645858765,0.026669318514402948,0.0007112525500226758,0.01,3075,0.03344278611909083,0.03314846754074097,0.034012168645858765,0.00020689345472227268,-0.00018233376305277756,-0.029382751353910358,0.3540115653860971,0.3863452845081046,0.0026016260162601626,0.0,0.04715447154471545,0.0,-0.28038260340690613,0.14012569189071655,0.2803826004266739,-0.2754879295825958,-0.1401273012161255,0.2754871129989624,-0.04100396558642387,-0.030993012711405754,-0.0160334225744009
dt_0.5_ms,100,0.05,307461,0.0,False,0.012477457523345947,0.01639433018863201,0.017435235902667046,0.019346641749143603,0.019678264297544962,0.02017761953175068,0.013151334087009126,0.00017295758826812817,0.01,3075,0.01969934860198963,0.019346661865711212,0.02017761953175068,-9.601902186385985e-05,-0.0002396559521434753,-0.04485168536382962,0.3929003582940101,0.4144558208454374,0.4500813008130081,0.0,0.0,0.0,-0.29550627768039706,-0.2504408061504364,0.29550638198852536,-0.29549260437488556,-0.24544364213943481,0.2954899728298187,-0.06610096842050553,-0.04608159884810448,-0.02121128868311644
dt_0.5_ms,120,0.06,307461,0.0,False,0.006369797512888908,0.013204391114413738,0.01403570082038641,0.015021406114101415,0.015246453974395991,0.015630638226866722,0.008226585514263217,6.76767092234854e-05,0.01,3075,0.015263723225552377,0.015021526254713535,0.015630638226866722,-0.0003351900466089326,0.0003339294519850878,-0.029500490727766258,0.12034590232607356,0.14877074752121403,0.0,0.0,0.0,0.0,-0.10519424974918365,-0.05007952079176903,0.10519374310970306,-0.10519398972392083,0.050081148743629456,0.10519484430551529,-0.041213950514793395,-0.031244441866874695,-0.01629481241106987
dt_0.5_ms,140,0.07,307461,0.0,False,0.01775999180972576,0.027778686955571175,0.0298009030520916,0.0312869355082512,0.03161891996860504,0.03239627927541733,0.0189363517263519,0.0003585854167041106,0.01,3075,0.031675016721331974,0.031287118792533875,0.03239627927541733,-8.291239630642945e-05,0.0001799875519018832,-0.004077040448565248,0.11359954882508398,0.15036157122227795,0.0,0.0,0.8816260162601626,0.011707317073170732,-0.11024291440844536,-0.010024896822869778,0.110243871062994,-0.11024496778845787,0.015043043531477451,0.11024778336286545,-0.011096414364874362,-0.0011572904186323285,-0.0011403930024243892
dt_0.5_ms,160,0.08,307461,0.0,False,0.022759800776839256,0.0344637930393219,0.037078533321619034,0.04126205146312715,0.04232530221343041,0.04424605146050453,0.024071463638083528,0.0005794353616795776,0.01,3075,0.04242848817047065,0.04126232862472534,0.04424605146050453,-3.791208674649176e-06,-2.1694488884359064e-05,-0.005069239025394152,0.05928047300174137,0.0963899716399978,0.0,0.0,0.751219512195122,0.6835772357723577,-0.07516811043024063,-9.592440619599074e-07,0.07516884356737137,-0.07517245039343834,6.512485697385273e-07,0.07517403736710548,-0.010732955951243638,-0.005740726832300425,-0.0007609649444930255
dt_0.5_ms,180,0.09,307461,0.0,False,0.020666809752583504,0.02724672667682171,0.028381362557411194,0.03127057775855065,0.03199658393859863,0.03341471776366234,0.02041308767047654,0.0004166941482425613,0.01,3075,0.03207266543211976,0.031270626932382584,0.03341471776366234,2.2183965885515735e-05,-7.064100426431468e-05,-0.008233811619494685,0.04889365673373355,0.07626206209483363,0.0,0.0,0.5089430894308943,0.9138211382113821,-0.060082390904426575,-5.073969759905594e-07,0.06008058376610279,-0.06008373349905014,6.27071301551041e-07,0.06008950546383858,-0.020331551134586335,-0.005369050428271294,-0.0003759074956178665
dt_0.5_ms,200,0.1,307461,0.0,False,0.010021580383181572,0.012199530377984047,0.012664390727877617,0.013319126144051554,0.013495285715907813,0.014234472997486591,0.009605488777658678,9.22654146577268e-05,0.01,3075,0.013516146131768459,0.013319174759089947,0.014234472997486591,0.0007702338571776348,-0.0009440842724894552,-0.0037571445211571283,0.33654168299440146,0.41072675658564256,0.9759349593495935,0.0,0.8552845528455284,0.0,-0.30025062561035154,1.663342800384271e-06,0.3002512037754059,-0.30024648308753965,-0.004996734205633402,0.30024620294570925,-0.010297923255711794,-0.005219374317675829,-0.0002044183478574269
dt_0.5_ms,220,0.11,307461,0.0,False,0.003921173512935638,0.009212546981871128,0.010425131767988205,0.012257304415106779,0.012689979653805496,0.013653852045536041,0.005537777022762376,3.066697435383493e-05,0.01,3075,0.012748736080115404,0.012257469817996025,0.013653852045536041,-0.00013570813200683982,0.00010995228319603469,-0.01087713254045892,0.042579811900938166,0.06804989679650578,0.0,0.0,0.4250406504065041,0.9860162601626016,-0.055021732300519946,-9.915885357258958e-07,0.051527682691811155,-0.05003326535224915,7.536067414548597e-07,0.05153456553816659,-0.02514834124594927,-0.01014078687876463,-0.00017294323770329357
dt_0.5_ms,240,0.12,307461,0.0,False,0.015614856034517288,0.02465362846851349,0.02704266645014286,0.030546157062053683,0.0313760668039322,0.03308979049324989,0.016972493616080164,0.0002880655395478819,0.01,3075,0.03147610949367527,0.03054621070623398,0.03308979049324989,-3.646429572230351e-05,3.689364599996632e-05,-0.007157132378353442,0.05074922351653062,0.08148516428114365,0.0,0.0,0.5866666666666667,0.8442276422764228,-0.06505161225795746,-9.715374744700966e-07,0.06505155712366104,-0.0650525525212288,7.31898694539268e-07,0.06505338624119758,-0.020352262444794177,-0.005388596095144749,-0.0004094107687706128
dt_0.5_ms,260,0.13,307461,0.0,False,0.021750830113887787,0.03160114586353302,0.034036632627248764,0.037350825220346454,0.03807200640439987,0.03948642313480377,0.022581614282697757,0.0005099293036125394,0.01,3075,0.038154875525856405,0.037350863218307495,0.03948642313480377,9.539094670794071e-05,-2.8147546244540486e-05,-0.00588676105739882,0.05607148516980286,0.09024392596957195,0.0,0.0,0.6878048780487804,0.7411382113821138,-0.07007865011692047,-4.159080333465681e-07,0.07007935866713524,-0.07008182480931283,7.079559622980014e-07,0.07008295357227326,-0.015715663321316242,-0.005747334100306034,-0.000768414163030684
dt_0.5_ms,280,0.14,307461,0.0,False,0.020404623821377754,0.0269657950848341,0.028173619881272316,0.029471939802169802,0.02967674788087607,0.029966475442051888,0.02022734364518696,0.0004091454309404853,0.01,3075,0.029692678341293723,0.029471954330801964,0.029966475442051888,0.00020781867002497387,-2.9763533542376725e-05,-0.004669732781490538,0.06350880898915544,0.10137451440193668,0.0,0.0,0.8208130081300813,0.6169105691056911,-0.07510194778442383,-1.1165323599016119e-07,0.0751022644340992,-0.0801057018339634,6.884108643134823e-07,0.08010704442858696,-0.011081862729042768,-0.006085590459406376,-0.0011105550569482149
dt_0.5_ms,300,0.15,307461,0.0,False,0.011257946491241455,0.014857206493616104,0.015393870882689953,0.01598356030881405,0.016110541857779027,0.016306022182106972,0.011254476376117343,0.00012666323850058338,0.01,3075,0.01611950432624274,0.015983615070581436,0.016306022182106972,7.176859107443956e-05,-0.0012197646571368707,-0.008578409618221042,0.3524260969701422,0.3825701099667493,0.0,0.0,0.5427642276422764,0.0,-0.2753836452960968,0.19540952146053314,0.2753848671913147,-0.27538186609745025,-0.20042049884796143,0.2753812879323959,-0.016372512839734555,-0.006389763206243515,-0.00130737517029047
